,Entity,Year,Records,Organization type,Method
0,1,2016,2200000,23,5
1,2,2020,14870304,40,5
2,5,2020,175350,23,13
3,7,2013,152000000,42,5
4,6,2019,7500000,42,13
5,8,2017,4000000,23,11
6,9,2018,75000,6,5
7,10,2013,344579,23,11
8,12,2019,320000000,46,13
9,11,2018,20000,49,5
10,206,2005,200000,13,11
11,13,2021,300000,50,13
12,14,2020,46000000,17,5
13,15,2021,156000,23,5
14,16,2021,80000000,23,5
15,3,2021,92000000,50,8
16,3,2021,20000000,50,2
17,3,2014,2400000,50,5
18,19,2021,12367232,43,2
19,17,2021,275000,42,5
20,18,2021,91000,23,13
21,20,2015,32000000,50,5
22,4,2008,113000,47,10
23,4,2010,114000,47,5
24,21,2008,18000000,50,5
25,22,2005,125000,13,13
26,23,2009,1220000,23,10
27,25,2015,250000,36,5
28,216,2008,12500000,13,11
29,26,2005,1200000,13,11
30,27,2017,1900000,47,13
31,27,2018,100000,47,5
32,28,2014,35040000,10,5
33,29,2010,2300000,50,5
34,30,2011,200000,17,5
35,31,2018,7633234,17,5
36,32,2012,14000000,17,5
37,33,2009,1023209,23,11
38,24,2018,90000,8,13
39,0,2018,500000,49,5
40,34,2012,800000,19,11
41,35,2019,140000000,50,5
42,36,2020,350000,16,5
43,37,2019,106000000,13,21
44,38,2005,40000000,13,5
45,40,2018,9400000,49,5
46,39,2015,1100000,23,5
47,42,2016,60000,13,5
48,43,2013,110000,11,5
49,44,2009,5000000,13,5
50,45,2020,56000000,7,19
51,46,2011,6000000,50,5
52,47,2011,10000000,50,5
53,48,2005,3900000,13,11
54,48,2011,360083,13,5
55,48,2013,150000,13,13
56,49,2007,160000,23,11
57,50,2010,105470,23,10
58,51,2014,4500000,23,5
59,166,2016,55000000,19,5
60,52,2007,1000000,13,7
61,53,2006,2600000,13,7
62,53,2011,2500000,13,7
63,41,2018,75000,23,5
64,54,2016,40000,47,5
65,55,2013,100000,23,10
66,57,2007,8637405,36,7
67,58,2008,8000000,13,5
68,236,2016,30000,19,13
69,59,2019,9700000,13,7
70,60,2014,600000,50,5
71,61,2019,4900000,50,5
72,232,2007,3000000,19,11
73,62,2012,68648009,50,5
74,63,2013,1000000,50,5
75,56,2005,1400000,36,5
76,64,2013,1000000,42,5
77,276,2014,145000000,50,5
78,65,2018,2000000,35,5
79,66,2010,3300000,13,11
80,67,2011,514330,23,10
81,68,2019,108000000,42,13
82,69,2010,251000,19,7
83,70,2010,180111,23,11
84,71,2012,315000,23,13
85,72,2017,163119000,15,13
86,73,2013,50000000,50,5
87,74,2018,340000000,9,13
88,75,2015,10000000,23,5
89,76,2015,15000000,47,5
90,77,2013,6000000,39,2
91,77,2018,50000000,39,13
92,77,2019,540000000,39,13
93,77,2019,1500000,39,3
94,77,2019,267000000,39,13
95,78,2019,461091,36,5
96,79,2010,400000,13,5
97,80,2007,8500000,13,7
98,81,2019,885000000,14,13
99,82,2013,100000,19,10
100,84,2016,412214295,50,14
101,85,2016,2500000,50,5
102,83,2012,420000,50,2
103,250,2020,201000000,32,0
104,87,2012,8000000,50,5
105,88,2007,800000,36,10
106,89,2010,1500000,50,5
107,90,2012,7000000,13,5
108,91,2014,5000000,50,5
109,92,2018,500000,39,13
110,93,2012,9000000,19,5
111,94,2017,25000,23,5
112,86,2008,11100000,11,7
113,95,2007,4200000,36,5
114,96,2018,28517244,36,5
115,97,2009,500000,23,11
116,98,2011,1900000,23,11
117,99,2019,808000,23,13
118,100,2009,130000000,13,5
119,101,2006,200000,43,11
120,102,2015,363000,24,5
121,103,2014,56000000,36,5
122,104,2011,283000,36,13
123,105,2020,200000000,39,13
124,106,2015,720000,13,5
125,107,2016,6700,23,7
126,108,2012,3000000,13,5
127,110,2015,1250000,41,5
128,111,2004,510000,37,7
129,112,2008,1600000,19,2
130,109,2010,2600000,13,11
131,109,2014,76000000,13,5
132,113,2019,100000000,25,20
133,114,2006,4000000,47,5
134,117,2013,125000,5,5
135,115,2016,1500000,50,5
136,118,2014,20000000,13,7
137,119,2013,1000000,42,5
138,116,2012,8700000,47,5
139,121,2014,1000000,42,5
140,122,2019,15000000,23,5
141,123,2010,130495,23,11
142,124,2012,8000000,50,2
143,125,2013,50000000,50,5
144,126,2014,860000,50,5
145,127,2018,500000000,24,5
146,127,2020,5200000,24,15
147,128,2011,210000,19,13
148,129,2012,160000000,13,5
149,237,2012,780000,21,5
150,130,2015,3900000,23,5
151,131,2011,102153,23,11
152,132,2014,3000000,36,5
153,133,2019,250000000,42,4
154,134,2012,163792,52,2
155,135,2008,6000000,19,2
156,136,2019,14200,23,15
157,137,2006,960000,13,9
158,139,2019,202000000,42,13
159,139,2019,275000000,42,13
160,138,2019,100000000,46,12
161,140,2007,1600000,50,5
162,141,2011,34000,13,11
163,142,2014,76000,50,13
164,143,2018,92283889,18,19
165,148,2014,1100000,36,5
166,149,2011,1055489,23,11
167,150,2009,573000,42,5
168,151,2010,1700000,23,11
169,152,2012,1800000,11,7
170,153,2014,52000,49,13
171,154,2011,13200000,50,5
172,144,2011,8300000,23,11
173,155,2013,240000,17,5
174,156,2020,160000,17,5
175,157,2016,430000,27,5
176,158,2016,1500000,17,5
177,159,2008,3950000,19,2
178,160,2020,30000,13,17
179,238,2015,21500000,19,5
180,161,2012,6500000,19,2
181,162,2010,760000,5,5
182,163,2018,880000,50,5
183,164,2015,2300000,50,5
184,165,2020,20076016,2,6
185,167,2018,123857,12,5
186,168,2015,11000000,23,5
187,169,2010,515000,23,5
188,170,2019,11900000,0,13
189,171,2018,100000000,3,5
190,173,2020,1381735,50,6
191,174,2012,98167935,50,5
192,172,2008,1500000,13,5
193,175,2011,200000,36,5
194,176,2009,32000000,51,5
195,177,2015,680000,19,7
196,178,2011,180000,19,5
197,179,2015,4600000,13,5
198,180,2013,500000,50,5
199,181,2010,231400,23,5
200,182,2011,1290755,17,5
201,183,2008,50500,19,11
202,184,2018,1500000,20,5
203,185,2015,500000,42,13
204,186,2020,377428,33,13
205,187,2013,4700000,53,5
206,188,2011,24600000,17,5
207,189,2011,1000000,50,5
208,190,2011,77000000,17,5
209,191,2013,16000,19,5
210,192,2012,6400000,23,7
211,193,2010,800000,23,11
212,194,2011,300000,23,5
213,195,2011,400000,23,10
214,196,2008,72000,5,10
215,197,2008,97000,36,10
216,198,2011,3500000,19,2
217,199,2011,35000000,50,5
218,200,2019,6800000,36,5
219,201,2011,935000,28,2
220,202,2011,4243434,23,10
221,203,2012,2434899,19,5
222,209,2016,20000000,36,5
223,211,2017,28722877,50,5
224,210,2013,110000000,36,5
225,212,2016,8800,50,5
226,206,2007,6300000,13,5
227,207,2012,260000,13,5
228,213,2013,170000,47,2
229,214,2020,120000000,26,13
230,215,2007,89000,19,7
231,218,2018,26151608,48,5
232,217,2011,28000000,50,5
233,219,2020,42000000,38,13
234,208,2007,94000000,36,5
235,205,2006,17000000,47,11
236,204,2021,45000000,45,5
237,220,2011,4901432,29,10
238,221,2010,398000,23,11
239,222,2019,299055000,4,19
240,223,2013,65469298,50,5
241,224,2013,250000,50,5
242,239,2014,50000,42,13
243,239,2017,57000000,49,5
244,240,2013,2000000,42,5
245,231,2015,4500000,23,5
246,233,2008,84000,19,11
247,234,2008,1700000,19,11
248,235,2007,25000000,19,11
249,243,2019,1164540,5,5
250,241,2018,150000000,1,5
251,244,2009,160000,5,5
252,244,2016,80000,5,5
253,246,2014,300000,5,5
254,245,2016,63000,5,5
255,247,2008,2100000,5,10
256,248,2008,2200000,5,11
257,249,2011,73000,5,5
258,242,2018,60000000,19,13
259,225,2011,50000,28,2
260,226,2010,392000,19,7
261,227,2009,72000,28,11
262,228,2006,26500000,22,10
263,230,2011,123461,19,2
264,145,2009,76000000,28,11
265,229,2010,260000,28,7
266,146,2009,131000,28,10
267,253,2020,130000,23,5
268,254,2016,1500000,47,5
269,255,2020,38000000,31,16
270,256,2020,900000,30,1
271,257,2009,8257378,21,5
272,258,2009,531400,23,5
273,259,2013,2000000,47,7
274,252,2015,5000000,36,5
275,260,2015,1300000,36,5
276,261,2011,1270000,27,5
277,262,2013,160000,19,5
278,263,2020,270000000,50,5
279,264,2020,30000000,36,5
280,265,2016,43430316,50,5
281,267,2011,62000,50,5
282,268,2015,6054459,50,18
283,269,2013,3000000000,50,5
284,269,2014,500000000,50,5
285,270,2013,22000000,44,5
286,271,2012,450000,50,5
287,272,2010,43000,5,2
288,273,2020,4000000,38,13
289,274,2012,24000000,50,5
290,275,2019,173000000,39,5
291,266,2019,98000,13,5
292,251,2020,200000000,13,2
293,147,2020,391250,23,13
294,120,2020,380000,34,19
